,movie_title,review_content,review_score
239,Helen,"Much like an ambitious video-art installation, it's intriguing, inconclusive and not as challenging as it wants to be.",2/5
240,Bakjwi (Thirst),"A fresh, surprising take on an old, old story (and an overpopulated subgenre) that holds the attention with deadly wit.",4/5
241,Vengeance (Fuk sau),"If indeed there is anything surprising about this clich-packed genre fare, it's the degree to which To and his screenwriter Wai Ka-Fai are prepared to indulge their flair for the ludicrous.",3/6
242,New World Order,"The directors never bother to delve into why these men need simple answers, and avoid complications at all costs.",1/4
243,April Fool's Day,Classic horror cheese,3.5/5
244,Blood: The Last Vampire,"'The world is full of bloodsuckers,' notes the lead vampire's handler; the only believable line in the movie.",C+
245,Shrink,"It wants to be Good Will Hunting set in the land of Entourage, but its bummed-out touchy-feeliness is every bit  as concocted as its overly jaded showbiz corruption.",C-
246,Ong Bak 2,"An effort that handily trumps the first in every respect, Ong-Bak 2 further cements Tony Jaa's status as one of the era's key action stars.",63/100
247,Bananas!,"The denouement, far from the David-slaying-Goliath narrative that you might expect to be celebrated, is a messy affair.",3/4
248,Last Ride,this is a major Australian film in what's proving to be a great year for Australian films.,4.5/5
249,Tron Legacy,"If you're a fan like me, it's worth seeing for both the nostalgia and the debate you're going to have after the film. If you're not, it's worth seeing for the visuals.",7/10
250,The Canyon,Competent execution and respectable performances still can't save this threadbare attempt at a minimalistic Deliverance.,2/5
251,"Manson, My Name Is Evil",...a sporadically intriguing yet hopelessly misguided endeavor.,2/4
252,Broken Hill,"For all its flaws and despite the limiting premise, this music-themed drama works better than it should.",2.5/4
253,A Beautiful Life,This intertwined tale of people struggling on society's fringe plays like bad community theater.,0.5/4
254,Suck,"Juggling conventions, skewering clichs and referencing genre cues, Stefaniuk packs the film with so many insider jokes that what could have been a wild ride simply isn't.",2/5
255,Chloe,All three central performances are among what is right with Chloe. It is just too bad they are not supported by a better script.,3/5
256,Armed and Dangerous,"How could two amazingly FUNNY guys spend so much effort on a movie so bereft of laughs? Candy and Levy deserve much better, and they moved on to it after this junkpile.",1.5/5
257,The Hole,...Loses its flavour faster than chewing gum.,2/4
258,NoBody's Perfect,An extraordinary German documentary about 12 adults with disabilities created by the toxic drug Thalidomide and how a special project lifts their spirits and gives them a fresh sense of community.,4/5
259,The Good Soldier,A well-intentioned but uninvolving anti-war documentary.,C+
260,High Life,"So, finally, deciding whether or not to see this movie boils down to one simple thing. If you didn't see it on stage, chances are you'll have a good-enough time.",3/5
261,Around the World in 80 Days,"It was definitely one of the biggest ""event"" films of the 1950s, but the decade produced many smaller films that were much more entertaining and that have aged better.",3/4
262,The Fall,"With The Fall, writer-director John Krueger buries a promising neo-noir plot with ponderous pacing and uneven performances and dialogue.",2/5
263,The Good Heart,"Although some of this is just too literal and the ending a bit unsatisfying in its obvious simplemindedness, The Good Heart is redeemed as a wonderful opportunity for memorable character studies.",3/5
264,Wonderful World,"Credit Broderick and the cast for putting across the fey Indiewood bullcrap with committed, nearly convincing effort.",2/5
265,Collapse,Smith's subject Michael Ruppert never registers as much more than an eloquent but largely untrustworthy quack.,2/4
266,Three Blind Mice,"Defies expectation. This is an unpredictable landscape populated by fully three-dimensional characters, and it's entirely entertaining. This is the world as men live in it.",3.5/5
267,The Last Song,It's not one of Sparks's more inventive efforts and Cyrus's extended sulk doesn't exactly enhance her acting prospects. Not that this means much.,1/5
268,Babies,"The new, original docu Babies assumes the shape of a sharply observed, highly visual cross-cultural anthropological exploration without in the least being didactic, academic or judgmental.",B
269,Lottery Ticket,"A parade of painful ghetto stereotypes, missing every opportunity for satire or meaningful social commentary.",2/5
270,Going the Distance,"Manages to be interesting as well as amusing, and there are good performances from both Drew Barrymore and Justin Long at the core of it.",3.5/5
271,Life as We Know It,"It's rather cute and sweet, in a sickly sort of way. But that's no longer adequate.",2/5
272,The Final,"Wants to be ""Saw meets Heathers,"" I suspect. It doesn't succeed.",2/5
273,Frozen,[Writer/director Adam] Green has crafted a potent combination of absolute terror and compelling human drama that will stick with you long after you've left the theatre or turned off the DVD.,4.5/5
274,Prodigal Sons,"As director and leading subject, Kimberly Reed shares all sides of herself. She's sensible, sensitive and candid, and brilliantly establishes a tone of contemplative empathy and compassion.",4.5/5
275,The Ghost Writer,...an enjoyable if not satisfying experience.,B-
276,Repo Men,"If you aren't too repulsed by the general ultra-violence and horror aspects, you're in for some treats of the gross out variety that could send you reeling to the lobby.",4/5
277,7 Days (Les 7 jours du talion),"In directing this torture porn, Daniel Grou is intent on dismissing the doctor's oath, 'primum non nocere,' and he does that quite well.",B+
278,Daddy Longlegs,Seamlessly strung together with a funny-sad tenderness and a gliding casualness that's more purposeful and believable than the unrefined improvisations of most DIY cinema.,4/5
279,Veer,I didn't get bored in the first half; the second put me to sleep.,2/5
280,Winter's Bone,"Deserves to be the major commercial breakthrough for both director Debra Granik and Jennifer Lawrence, its luminous, moon-faced star.",4.5/5
281,The Kids Are All Right,"A crowd-pleasing, feel-good comedy for an era in which the very definition of ""family"" is fluid and in flux.",3/5
282,Lucky,"May not change your world view, but it's pretty interesting to see what happens after a middle-class family wins $314 million.",3/5
283,High School,destined to take its place among classics like HALF-BAKED and UP IN SMOKE,8/10
284,Stolen,Stolen reveals a filmmaking hand in need of a considerable amount of seasoning.,2/4
285,The Killing Jar,"Mark Young's bargain-basement thriller is as witless as the captor's motive; to paraphrase another well-dressed Madsen psycho, this little doggie barks, but it has no bite.",1/5
286,La MISSION,A dimly obvious coming-to-terms-with-my-gay-son melodrama.,1.5/4
287,Predators,For the most part Predators is B-grade fun in the best possible way.,3/5
288,Stonewall Uprising,"Stonewall Uprising deploys familiar PSA-cum-hate-crimes like the infamous ""Boys Beware"" with very little restraint in order to truly establish Stonewall's prehistory as a No M2M's Land.",2.5/4
289,The Oath,"The Oath does give the viewer something to think about, but the film is unsatisfying, raising questions and providing too few answers.",2.5/5
290,The Wild Hunt,First-time feature filmmaker Alexandre Franchi shoots the outdoors amazingly claustrophobically - an almost-oxymoric effect that contributes to the unsettling atmosphere of The Wild Hunt.,3.5/5
291,Arthur,"Even if Dudley Moore's performance weren't so darn funny, it would still be worth watching just for John Gielgud.",4.5/5
292,The Lottery,"Director Madeleine Sackler favors an agenda of advocacy over complexity, making The Lottery an effective, if unapologetically one-sided, piece of agitprop.",3/5
293,Assault on Precinct 13,"John Carpenter's third movie (two years before Halloween), and one of his best.",3.5/5
294,Asylum,A great little gothic horror anthology. Track this one down if you can!,4.5/5
295,Attack of the 50 Foot Woman,Old-school camp craziness of the tallest and most feminine variety.,3/5
296,Avenging Angel,Typical exploitation stuff. The B-level camp charm of the original is absent here.,1/5
